ArticleItem;LT_Revision;Product Group;Installation;Optic;Beam & Material;Modulation;Power Supply;/;Lampcolor;Length;Light Direct;Light Indirect;Driver;Trough wiring;Colour;LLMF 50kh;Error Code;Luminous flux (lumen);Power (Watt);Power factor;Luminous flux uplight;Luminous flux downlight;UGR;Shielding angle C0;Shielding angle C90;Number of drivers
V3RB10M/N3M0D0X0;_LTRevAA;V3;R;B;1;0;M;/;N;3;M;0;D;0;X0;0.962100681;0;2900;2.329.168.197;0.9;0;2900;19;60;65;1
V3RB10M/N3M0D0X1;_LTRevAA;V3;R;B;1;0;M;/;N;3;M;0;D;0;X1;0.962100681;0;2900;16;0.9;0;2900;19;60;65;1
V3RB10M/N3M0D0X2;_LTRevAA;V3;R;B;1;0;M;/;N;3;M;0;D;0;X2;0.962100681;0;2900;16;0.9;0;2900;19;60;65;1
V3RB10M/N4M0D0X0;_LTRevAA;V3;R;B;1;0;M;/;N;4;M;0;D;0;X0;0.962100681;0;3750;22;0.93;0;3750;19;60;65;1
V3RB10M/N4M0D0X1;_LTRevAA;V3;R;B;1;0;M;/;N;4;M;0;D;0;X1;0.962100681;0;3750;22;0.93;0;3750;19;60;65;1
V3RB10M/N4M0D0X2;_LTRevAA;V3;R;B;1;0;M;/;N;4;M;0;D;0;X2;0.962100681;0;3750;22;0.93;0;3750;19;60;65;1
V3RB10M/N5M0D0X0;_LTRevAA;V3;R;B;1;0;M;/;N;5;M;0;D;0;X0;0.962100681;0;4650;27;0.95;0;4650;19;60;65;1
V3RB10M/N5M0D0X1;_LTRevAA;V3;R;B;1;0;M;/;N;5;M;0;D;0;X1;0.962100681;0;4650;27;0.95;0;4650;19;60;65;1
V3RB10M/N5M0D0X2;_LTRevAA;V3;R;B;1;0;M;/;N;5;M;0;D;0;X2;0.962100681;0;4650;27;0.95;0;4650;19;60;65;1
V3RB10M/N6M0D0X0;_LTRevAA;V3;R;B;1;0;M;/;N;6;M;0;D;0;X0;0.962100681;0;5600;34;0.96;0;5600;19;60;65;1
V3RB10M/N6M0D0X1;_LTRevAA;V3;R;B;1;0;M;/;N;6;M;0;D;0;X1;0.962100681;0;5600;34;0.96;0;5600;19;60;65;1
V3RB10M/N6M0D0X2;_LTRevAA;V3;R;B;1;0;M;/;N;6;M;0;D;0;X2;0.962100681;0;5600;34;0.96;0;5600;19;60;65;1
V3RB10M/W3M0D0X0;_LTRevAA;V3;R;B;1;0;M;/;W;3;M;0;D;0;X0;0.956709417;0;2750;40;0.9;0;2750;19;60;65;1
V3RB10M/W3M0D0X1;_LTRevAA;V3;R;B;1;0;M;/;W;3;M;0;D;0;X1;0.956709417;0;2750;40;0.9;0;2750;19;60;65;1
V3RB10M/W3M0D0X2;_LTRevAA;V3;R;B;1;0;M;/;W;3;M;0;D;0;X2;0.956709417;0;2750;40;0.9;0;2750;19;60;65;1
V3RB10M/W4M0D0X0;_LTRevAA;V3;R;B;1;0;M;/;W;4;M;0;D;0;X0;0.956709417;0;3600;16;0.93;0;3600;19;60;65;1
V3RB10M/W4M0D0X1;_LTRevAA;V3;R;B;1;0;M;/;W;4;M;0;D;0;X1;0.956709417;0;3600;16;0.93;0;3600;19;60;65;1
V3RB10M/W4M0D0X2;_LTRevAA;V3;R;B;1;0;M;/;W;4;M;0;D;0;X2;0.956709417;0;3600;16;0.93;0;3600;19;60;65;1
V3RB10M/W5M0D0X0;_LTRevAA;V3;R;B;1;0;M;/;W;5;M;0;D;0;X0;0.956709417;0;4500;22;0.95;0;4500;19;60;65;1
V3RB10M/W5M0D0X1;_LTRevAA;V3;R;B;1;0;M;/;W;5;M;0;D;0;X1;0.956709417;0;4500;22;0.95;0;4500;19;60;65;1
V3RB10M/W5M0D0X2;_LTRevAA;V3;R;B;1;0;M;/;W;5;M;0;D;0;X2;0.956709417;0;4500;22;0.95;0;4500;19;60;65;1
V3RB10M/W6M0D0X0;_LTRevAA;V3;R;B;1;0;M;/;W;6;M;0;D;0;X0;0.956709417;0;5350;27;0.96;0;5350;19;60;65;1
V3RB10M/W6M0D0X1;_LTRevAA;V3;R;B;1;0;M;/;W;6;M;0;D;0;X1;0.956709417;0;5350;27;0.96;0;5350;19;60;65;1
V3RB10M/W6M0D0X2;_LTRevAA;V3;R;B;1;0;M;/;W;6;M;0;D;0;X2;0.956709417;0;5350;27;0.96;0;5350;19;60;65;1
